"pID","predicted","actual","predicted_factor","actual_factor"
"MURIC202",0.997077844424967,1,"regulate","regulate"
"MURIC202",0.999920983190342,1,"regulate","regulate"
"MURIC202",0.999941370364717,1,"regulate","regulate"
"MURIC210",0.006415204543757,1,"react","regulate"
"MURIC210",0.987926339587458,1,"regulate","regulate"
"MURIC210",0.401875980292072,1,"react","regulate"
"MURIC212",0.956440121824483,1,"regulate","regulate"
"MURIC212",0.017976097459522,1,"react","regulate"
"MURIC212",0.669986752587494,1,"regulate","regulate"
"MURIC224",0.000652104721551,1,"react","regulate"
"MURIC224",0.999017461397393,1,"regulate","regulate"
"MURIC224",0.230330762478624,1,"react","regulate"
"MURIC230",0.014860509865135,1,"react","regulate"
"MURIC230",0.000685732231825,1,"react","regulate"
"MURIC230",0.002713288640133,1,"react","regulate"
"MURIC232",0.000077562819097,1,"react","regulate"
"MURIC232",0.000000004971572,1,"react","regulate"
"MURIC232",0.000027400583902,1,"react","regulate"
"MURIC233",0.99948292415008,1,"regulate","regulate"
"MURIC233",0.981786246110793,1,"regulate","regulate"
"MURIC233",0.970045162691881,1,"regulate","regulate"
"MURIC234",0.916598577335654,1,"regulate","regulate"
"MURIC234",0.07892217501921,1,"react","regulate"
"MURIC234",0.829977399084588,1,"regulate","regulate"
"MURIC242",0.999808922152318,1,"regulate","regulate"
"MURIC242",0.539100924199061,1,"regulate","regulate"
"MURIC242",0.141910775708227,1,"react","regulate"
"MURIC245",0.000000466389584,1,"react","regulate"
"MURIC245",0.126515734259213,1,"react","regulate"
"MURIC245",0.072879257466838,1,"react","regulate"
"MURIC249",0.449955389578158,1,"react","regulate"
"MURIC249",0.012658882320216,1,"react","regulate"
"MURIC249",0.000091309308716,1,"react","regulate"
"MURIC250",0.982105578768572,1,"regulate","regulate"
"MURIC250",0.99963324600476,1,"regulate","regulate"
"MURIC250",0.999926708985035,1,"regulate","regulate"
"MURIC251",0.00061021850779,1,"react","regulate"
"MURIC251",0.980337953851975,1,"regulate","regulate"
"MURIC251",0.623580656586255,1,"regulate","regulate"
"MURIC321",0.999140198288646,1,"regulate","regulate"
"MURIC321",0.999897400341666,1,"regulate","regulate"
"MURIC321",0.998230930034774,1,"regulate","regulate"
"MURIC328",0.999193075682502,1,"regulate","regulate"
"MURIC328",0.637588553250035,1,"regulate","regulate"
"MURIC328",0.039719740642926,1,"react","regulate"
"MURIC375",0.254517015850815,1,"react","regulate"
"MURIC375",0.999141235606277,1,"regulate","regulate"
"MURIC375",0.066797121285963,1,"react","regulate"
"MURIC419",0.003963447294237,1,"react","regulate"
"MURIC419",0.950058279321858,1,"regulate","regulate"
"MURIC419",0.999931446225835,1,"regulate","regulate"
"MURIC430",0.599252844944162,1,"regulate","regulate"
"MURIC430",0.392979238540073,1,"react","regulate"
"MURIC430",0.032970411288929,1,"react","regulate"
"MURIC431",0.338109694501045,1,"react","regulate"
"MURIC431",0.00295355803036,1,"react","regulate"
"MURIC431",0.19564290641237,1,"react","regulate"
"MURIC432",0.995766719629776,1,"regulate","regulate"
"MURIC432",0.889740557437675,1,"regulate","regulate"
"MURIC432",0.989265572478417,1,"regulate","regulate"
"MURIP012",0.999775327940067,1,"regulate","regulate"
"MURIP012",0.999764967500034,1,"regulate","regulate"
"MURIP012",0.996628383245523,1,"regulate","regulate"
"MURIP041",0.002165878063902,1,"react","regulate"
"MURIP041",0.092815823472585,1,"react","regulate"
"MURIP041",0.014101908471036,1,"react","regulate"
"MURIP063",0.915741668802546,1,"regulate","regulate"
"MURIP063",0.998291310603826,1,"regulate","regulate"
"MURIP063",0.998524975239112,1,"regulate","regulate"
"MURIP078",0.223700317612419,1,"react","regulate"
"MURIP078",0.999131956044023,1,"regulate","regulate"
"MURIP078",0.001626523260802,1,"react","regulate"
"MURIP086",0.977086931414096,1,"regulate","regulate"
"MURIP086",0.999713625855105,1,"regulate","regulate"
"MURIP086",0.006091972122523,1,"react","regulate"
"MURIP088",0.999758822461716,1,"regulate","regulate"
"MURIP088",0.999544601674903,1,"regulate","regulate"
"MURIP088",0.99668792266014,1,"regulate","regulate"
"MURIP098",0.567566431826324,1,"regulate","regulate"
"MURIP098",0.871840900684197,1,"regulate","regulate"
"MURIP098",0.000035648169355,1,"react","regulate"
"MURIP101",0.995214027473555,1,"regulate","regulate"
"MURIP101",0.998586215079808,1,"regulate","regulate"
"MURIP101",0.999924097512171,1,"regulate","regulate"
"MURIP117",0.422973334155598,1,"react","regulate"
"MURIP117",0.968976141757222,1,"regulate","regulate"
"MURIP117",0.841844234224014,1,"regulate","regulate"
"MURIP163",0.052291196460865,1,"react","regulate"
"MURIP163",0.999157449255078,1,"regulate","regulate"
"MURIP163",0.999949089630418,1,"regulate","regulate"
"MURIP186",0.000204092611509,1,"react","regulate"
"MURIP186",0.004656462477418,1,"react","regulate"
"MURIP186",0.070408642792219,1,"react","regulate"
"MURIP369",0.999994338409461,1,"regulate","regulate"
"MURIP369",0.796828859493881,1,"regulate","regulate"
"MURIP369",0.999726077802184,1,"regulate","regulate"
"MURIP400",0.016005139506918,1,"react","regulate"
"MURIP400",0.100554438798761,1,"react","regulate"
"MURIP400",0.652007700384031,1,"regulate","regulate"
"MURIP404",0.98513854681858,1,"regulate","regulate"
"MURIP404",0.840970726861448,1,"regulate","regulate"
"MURIP404",0.903846591846526,1,"regulate","regulate"
"MURIP405",0.568155610281741,1,"regulate","regulate"
"MURIP405",0.961092206412794,1,"regulate","regulate"
"MURIP405",0.923665647193926,1,"regulate","regulate"
"MURIP531",0.991148322508633,1,"regulate","regulate"
"MURIP531",0.21331104854925,1,"react","regulate"
"MURIP531",0.023187375295795,1,"react","regulate"
"MURIP542",0.999418289810351,1,"regulate","regulate"
"MURIP542",0.832594072606796,1,"regulate","regulate"
"MURIP542",0.99690190616056,1,"regulate","regulate"
"MURIC202",0.000157991265848,0,"react","react"
"MURIC202",0.999899760190774,0,"regulate","react"
"MURIC202",0.021450560239011,0,"react","react"
