"pID","confidence_rating"
"sub-MURIP071",NA
"sub-MURIP034",NA
"sub-MURIP017",NA
"sub-MURIP067",NA
"sub-MURIP061",NA
"sub-MURIP035",NA
"sub-MURIP041",-1.80204253386787
"sub-MURIC252",NA
"sub-MURIC201",NA
"sub-MURIC219",NA
"sub-MURIP093",NA
"sub-MURIP094",NA
"sub-MURIC254",NA
"sub-MURIC246",NA
"sub-MURIC247",NA
"sub-MURIC241",NA
"sub-MURIP092",NA
"sub-MURIC238",NA
"sub-MURIC209",NA
"sub-MURIC210",-0.976106372511761
"sub-MURIP100",NA
"sub-MURIC243",NA
"sub-MURIC230",0.67576595020045
"sub-MURIC228",NA
"sub-MURIC231",NA
"sub-MURIC234",-0.976106372511761
"sub-MURIC232",0.67576595020045
"sub-MURIP113",NA
"sub-MURIC212",-0.976106372511761
"sub-MURIC249",-0.150170211155655
"sub-MURIP096",NA
"sub-MURIC251",-0.150170211155655
"sub-MURIC250",0.67576595020045
"sub-MURIC235",NA
"sub-MURIC224",NA
"sub-MURIP095",NA
"sub-MURIC208",NA
"sub-MURIC213",NA
"sub-MURIP115",NA
"sub-MURIC203",NA
"sub-MURIC205",NA
"sub-MURIP091",NA
"sub-MURIC242",1.50170211155656
"sub-MURIP101",-0.150170211155655
"sub-MURIC245",-0.976106372511761
"sub-MURIC244",NA
"sub-MURIP117",0.67576595020045
"sub-MURIP088",0.67576595020045
"sub-MURIC202",1.50170211155656
"sub-MURIP112",NA
"sub-MURIP086",-1.80204253386787
"sub-MURIC233",0.67576595020045
"sub-MURIC248",NA
"sub-MURIP098",0.67576595020045
"sub-MURIC239",NA
"sub-MURIC321",-0.976106372511761
"sub-MURIC351",NA
"sub-MURIC362",NA
"sub-MURIC333",NA
"sub-MURIP189",NA
"sub-MURIC315",NA
"sub-MURIC315",NA
"sub-MURIC328",1.50170211155656
"sub-MURIP173",NA
"sub-MURIC438",NA
"sub-MURIC310",NA
"sub-MURIP162",NA
"sub-MURIC426",NA
"sub-MURIC375",-0.150170211155655
"sub-MURIC312",NA
"sub-MURIC430",-1.80204253386787
"sub-MURIP181",NA
"sub-MURIC303",NA
"sub-MURIC354",NA
"sub-MURIC301",NA
"sub-MURIP163",1.50170211155656
"sub-MURIC432",-0.150170211155655
"sub-MURIC429",NA
"sub-MURIC325",NA
"sub-MURIC338",NA
"sub-MURIC431",-0.976106372511761
"sub-MURIC420",NA
"sub-MURIC414",NA
"sub-MURIC358",NA
"sub-MURIC347",NA
"sub-MURIP186",1.50170211155656
"sub-MURIC419",-0.150170211155655
"sub-MURIC435",NA
"sub-MURIP201",NA
"sub-MURIP196",NA
"sub-MURIP155",NA
"sub-MURIP372",NA
"sub-MURIP396",NA
"sub-MURIP404",-0.150170211155655
"sub-MURIP369",-0.150170211155655
"sub-MURIC434",NA
"sub-MURIP376",NA
"sub-MURIP405",-0.976106372511761
"sub-MURIP373",NA
"sub-MURIP389",NA
"sub-MURIP393",NA
"sub-MURIP531",0.67576595020045
"sub-MURIP397",NA
"sub-MURIP400",0.67576595020045
"sub-MURIP408",NA
"sub-MURIP543",NA
"sub-MURIP549",NA
"sub-MURIP542",-0.150170211155655
"sub-MURIP392",NA
